Unnamed: 0,path,orbit,img_block,line,sample,anr,aa,af,ba,bf,ca,cf,da,df,cloud,vis_confirmed,prediction
94,164,88146,8,356,1114,0.55036,0.634093,0.757531,0.823181,0.873499,0.977674,1.035462,0.999296,2.188859,11,11.0,
95,164,88146,8,357,1114,0.553504,0.612865,0.799201,0.813353,0.792125,0.975316,1.011875,0.989468,2.359077,11,11.0,
96,164,88146,8,357,1115,0.549573,0.628982,0.796842,0.792125,0.863671,0.976102,0.933253,0.977281,2.135788,11,11.0,
97,164,88146,8,358,1115,0.55547,0.626231,0.776793,0.817677,0.99222,0.985144,1.0162,0.96706,2.116526,11,11.0,
98,164,88146,8,359,1115,0.552718,0.651783,0.703281,0.847947,1.062194,0.989861,1.369216,0.958412,2.155444,11,11.0,
99,164,88146,8,360,1115,0.560974,0.634879,0.722937,0.863671,0.88372,0.996544,1.788669,0.953694,2.315834,11,11.0,
100,164,88146,8,360,1116,0.573553,0.642741,0.759103,0.882934,0.878217,0.993006,1.452163,0.951729,2.155837,11,11.0,
101,164,88146,8,361,1116,0.600285,0.643528,0.72962,0.901803,0.946225,0.98593,1.70297,0.947798,2.468756,11,11.0,
102,164,88146,8,362,1116,0.621906,0.660825,0.638024,0.886865,0.955267,0.97964,1.557911,0.947012,2.63976,11,11.0,
103,164,88146,8,363,1116,0.638417,0.682839,0.588099,0.902983,0.98593,0.987895,1.347202,0.941508,2.678679,11,11.0,
104,164,88146,8,363,1117,0.620727,0.690701,0.599106,0.907307,0.971385,1.011482,1.810683,0.947405,3.055675,11,11.0,
105,164,88146,8,364,1117,0.623086,0.753993,0.605789,0.928535,0.922638,1.044111,1.833484,0.936397,2.830814,11,11.0,
106,164,88146,8,365,1117,0.638024,0.753599,0.633307,0.938363,0.762641,1.044111,1.760757,0.932073,2.57529,11,11.0,
107,164,88146,8,366,1117,0.636452,0.714288,0.653749,0.924997,0.712323,1.010696,1.847243,0.928142,2.401926,11,11.0,
108,164,88146,8,366,1118,0.63252,0.72844,0.645886,0.928535,0.794876,0.981606,2.009206,0.934039,2.409002,11,11.0,
109,164,88146,8,367,1118,0.622693,0.718612,0.662397,0.894334,0.966667,0.952515,1.681348,0.934432,2.12596,11,11.0,
121,164,88146,8,376,1121,0.67419,0.784655,0.794483,0.972171,1.020131,0.887651,1.382975,0.886472,2.990418,11,11.0,
122,164,88146,8,377,1121,0.703281,0.791338,0.825932,1.00362,0.90259,0.900231,1.461205,0.882934,2.618139,11,11.0,
123,164,88146,8,378,1121,0.711929,0.791338,0.85463,1.016986,0.856595,0.912024,1.766261,0.880968,2.200652,11,11.0,
124,164,88146,8,378,1122,0.747703,0.797628,0.817284,0.993006,0.873106,0.926963,1.704149,0.873499,2.381484,11,11.0,
125,164,88146,8,379,1122,0.719792,0.802739,0.805097,0.939149,0.873892,0.939936,1.682135,0.871141,1.8154,11,11.0,
126,164,88146,8,380,1122,0.703674,0.804704,0.794483,0.967847,0.912418,0.945832,1.526068,0.867996,1.605477,11,11.0,
127,164,88146,8,381,1122,0.740627,0.810208,0.884506,0.957233,0.980426,0.939149,1.602726,0.855023,1.6727,11,11.0,
128,164,88146,8,381,1123,0.728833,0.803132,0.820822,0.967847,0.949763,0.936397,1.599188,0.856988,1.963997,11,11.0,
129,164,88146,8,382,1123,0.746917,0.803525,0.82947,0.990647,0.986716,0.920673,1.647934,0.845588,2.055986,11,11.0,
130,164,88146,8,383,1123,0.744951,0.817284,0.744558,1.050794,0.946618,0.9077,1.562235,0.836153,2.028468,11,11.0,
824,94,88229,30,75,858,0.035022,0.047998,0.041719,0.061393,0.064323,0.08581,0.079531,0.125576,0.13032,44,44.0,
825,94,88229,30,74,858,0.03544,0.04744,0.041998,0.061672,0.064741,0.086368,0.079671,0.125018,0.130459,44,44.0,
826,94,88229,30,74,857,0.035161,0.048137,0.041859,0.061532,0.06502,0.086508,0.07981,0.125436,0.131017,44,44.0,
827,94,88229,30,73,857,0.035301,0.047858,0.042138,0.061253,0.06516,0.086368,0.079531,0.125157,0.130738,44,44.0,
828,94,88229,30,73,856,0.03558,0.048277,0.041998,0.061114,0.06502,0.086368,0.079671,0.125018,0.130878,44,44.0,
829,94,88229,30,72,856,0.03558,0.048137,0.041998,0.061114,0.064881,0.08595,0.079531,0.125297,0.130599,44,44.0,
830,94,88229,30,72,855,0.035719,0.048277,0.042138,0.061811,0.064183,0.086368,0.07995,0.125297,0.131157,44,44.0,
838,94,88229,30,67,852,0.036417,0.048556,0.042417,0.06223,0.062927,0.085531,0.07981,0.123762,0.130738,44,44.0,
839,94,88229,30,67,851,0.036836,0.048835,0.042696,0.06223,0.061951,0.085391,0.080648,0.123483,0.131994,44,44.0,
840,94,88229,30,66,851,0.037115,0.050788,0.043951,0.062369,0.06223,0.086368,0.081624,0.124739,0.131854,44,44.0,
841,94,88229,30,65,851,0.037533,0.049672,0.043951,0.063485,0.061672,0.08581,0.081624,0.125018,0.131994,44,44.0,
842,94,88229,30,65,850,0.052881,0.056509,0.059997,0.070043,0.077996,0.103949,0.092507,0.132692,0.138831,44,44.0,
843,94,88229,30,64,850,0.038231,0.050509,0.044231,0.063625,0.059997,0.090694,0.084275,0.128366,0.135482,44,44.0,
844,94,88229,30,64,849,0.038649,0.051486,0.044789,0.064881,0.059858,0.089438,0.087345,0.130041,0.142738,44,44.0,
845,94,88229,30,63,849,0.038224,0.050966,0.045225,0.063147,0.058947,0.08667,0.080929,0.126014,0.133295,44,44.0,
846,94,88229,30,63,848,0.047045,0.067348,0.055306,0.068048,0.068188,0.101512,0.092551,0.134835,0.135676,44,44.0,
847,94,88229,30,62,848,0.047185,0.062027,0.059787,0.066508,0.069588,0.104872,0.094371,0.134975,0.136936,44,44.0,
848,94,88229,30,62,847,0.092131,0.08961,0.104732,0.102492,0.121114,0.137076,0.133435,0.157378,0.17166,44,44.0,
849,94,88229,30,61,847,0.045645,0.060487,0.052506,0.073508,0.074348,0.113273,0.103192,0.144497,0.157098,44,44.0,
850,94,88229,30,60,847,0.039344,0.052226,0.044525,0.063567,0.060487,0.092551,0.08317,0.131335,0.136796,44,44.0,
851,94,88229,30,60,846,0.039344,0.053346,0.045225,0.063847,0.060907,0.092411,0.08709,0.135956,0.140716,44,44.0,
852,94,88229,30,59,846,0.038924,0.052366,0.044945,0.063427,0.059507,0.08863,0.081069,0.126434,0.136096,44,44.0,
853,94,88229,30,59,845,0.039625,0.053066,0.045225,0.064827,0.060067,0.08919,0.082749,0.129795,0.136516,44,44.0,
854,94,88229,30,58,845,0.039905,0.053206,0.044665,0.064407,0.060347,0.08807,0.080789,0.126434,0.133995,44,44.0,
855,94,88229,30,58,844,0.039905,0.053346,0.045085,0.065668,0.061187,0.08891,0.081209,0.127135,0.133855,44,44.0,
856,94,88229,30,57,844,0.040605,0.052786,0.044385,0.065107,0.060487,0.08779,0.079669,0.126014,0.133155,44,44.0,
857,94,88229,30,57,843,0.041725,0.053626,0.045785,0.066088,0.061467,0.08849,0.080929,0.127835,0.134275,44,44.0,
858,94,88229,30,56,843,0.040045,0.052786,0.044385,0.064827,0.060067,0.08807,0.079389,0.124894,0.132035,44,44.0,
859,94,88229,30,55,842,0.039625,0.052646,0.043825,0.064547,0.060207,0.08891,0.080369,0.125874,0.132175,44,44.0,
860,94,88229,30,54,842,0.038924,0.051386,0.042425,0.063987,0.058807,0.08807,0.078829,0.124194,0.130775,44,44.0,
861,94,88229,30,54,841,0.038784,0.052366,0.043545,0.064687,0.059227,0.09087,0.08331,0.133295,0.135115,44,44.0,
862,94,88229,30,53,841,0.037944,0.050826,0.042285,0.063147,0.058247,0.08807,0.078689,0.125734,0.132455,44,44.0,
863,94,88229,30,53,840,0.038784,0.051386,0.042705,0.063987,0.059087,0.08919,0.079669,0.129935,0.133295,44,44.0,
864,94,88229,30,52,840,0.038224,0.050406,0.042565,0.063287,0.057967,0.08751,0.078269,0.125314,0.131755,44,44.0,
865,94,88229,30,52,839,0.038084,0.050546,0.042705,0.063847,0.057407,0.08807,0.079389,0.126154,0.131895,44,44.0,
866,94,88229,30,51,839,0.037384,0.050126,0.042285,0.063427,0.056846,0.08737,0.078549,0.125174,0.130775,44,44.0,
867,94,88229,30,50,838,0.037384,0.050546,0.042285,0.063147,0.058247,0.08709,0.078969,0.125314,0.132035,44,44.0,
868,94,88229,30,49,838,0.036684,0.050266,0.042005,0.063147,0.057687,0.08695,0.079249,0.124754,0.131475,44,44.0,
869,94,88229,30,49,837,0.037664,0.050406,0.041445,0.062867,0.057827,0.08779,0.079949,0.125314,0.131335,44,44.0,
870,94,88229,30,48,837,0.036684,0.049706,0.040465,0.062867,0.057127,0.08709,0.079529,0.123774,0.131475,44,44.0,
871,94,88229,30,48,836,0.036544,0.050266,0.041725,0.062727,0.058107,0.08653,0.079669,0.124754,0.131195,44,44.0,
873,94,88229,30,47,835,0.036124,0.049986,0.041725,0.061887,0.057407,0.08653,0.079389,0.124054,0.131195,44,44.0,
874,94,88229,30,46,835,0.035704,0.049986,0.041585,0.062307,0.056846,0.08611,0.079109,0.123914,0.130775,44,44.0,
875,94,88229,30,46,834,0.036124,0.050546,0.042005,0.062307,0.056706,0.08709,0.079249,0.124054,0.130635,44,44.0,
876,94,88229,30,45,834,0.035144,0.050126,0.041725,0.062587,0.056846,0.08695,0.079389,0.124054,0.130495,44,44.0,
877,94,88229,30,44,834,0.035284,0.049706,0.041165,0.062027,0.057127,0.08653,0.078969,0.124474,0.130355,44,44.0,
878,94,88229,30,44,833,0.035704,0.049566,0.042145,0.062447,0.057267,0.08667,0.079109,0.124754,0.130495,44,44.0,
882,94,88229,30,42,831,0.035197,0.048097,0.041647,0.061839,0.059455,0.08736,0.079928,0.125221,0.131251,44,44.0,
883,94,88229,30,41,831,0.035337,0.048378,0.042348,0.06212,0.059596,0.08694,0.079788,0.124941,0.130409,44,44.0,
884,94,88229,30,41,830,0.034916,0.048097,0.041647,0.062821,0.059315,0.087641,0.079788,0.125081,0.130269,44,44.0,
885,94,88229,30,40,830,0.034495,0.047677,0.042068,0.06212,0.059175,0.08722,0.080489,0.12438,0.13055,44,44.0,
894,94,88229,30,35,826,0.034916,0.048378,0.041927,0.061699,0.059876,0.08694,0.08077,0.123819,0.13055,44,44.0,
895,94,88229,30,34,826,0.034916,0.049219,0.041647,0.061699,0.058754,0.086659,0.08077,0.123538,0.130409,44,44.0,
896,94,88229,30,34,825,0.034916,0.048798,0.042068,0.06226,0.059876,0.08708,0.08119,0.123959,0.13055,44,44.0,
897,94,88229,30,33,825,0.035477,0.0495,0.042348,0.06198,0.059315,0.08722,0.08091,0.123959,0.131251,44,44.0,
898,94,88229,30,33,824,0.035617,0.049219,0.043049,0.06226,0.061699,0.088202,0.081611,0.123819,0.132232,44,44.0,
899,94,88229,30,32,824,0.036038,0.048658,0.04333,0.061699,0.060016,0.088202,0.081471,0.126203,0.133494,44,44.0,
900,94,88229,30,32,823,0.036599,0.048798,0.04361,0.0624,0.060998,0.088342,0.082172,0.127324,0.135598,44,44.0,
901,94,88229,30,31,823,0.036739,0.04964,0.044031,0.063101,0.059596,0.088903,0.083154,0.132934,0.141067,44,44.0,
902,94,88229,30,31,822,0.037019,0.04992,0.044031,0.063662,0.059736,0.088482,0.083013,0.13069,0.141347,44,44.0,
903,94,88229,30,30,822,0.039123,0.051603,0.046134,0.066327,0.061839,0.091988,0.089323,0.150041,0.162661,44,44.0,
904,94,88229,30,29,821,0.045713,0.057352,0.054968,0.077825,0.065485,0.094652,0.096896,0.147377,0.16799,44,44.0,
