,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
1,152,86922,74.422639,215.545163,0.8439700000000001,1.39007,0.59725,5.19
2,152,86922,74.422351,215.546735,0.83645,1.39609,0.58973,5.72
3,152,86922,74.422064,215.548307,0.83645,1.39609,0.58973,6.33
4,152,86922,74.422294,215.547049,0.83645,1.39609,0.58973,5.97
5,152,86922,74.422393,215.54454500000003,0.8439700000000001,1.39007,0.59725,5.18
6,152,86922,74.422106,215.546115,0.83645,1.39609,0.58973,5.95
7,152,86922,74.421818,215.547686,0.83645,1.39609,0.58973,5.94
8,152,86922,74.422048,215.546428,0.83645,1.39609,0.58973,6.2
9,152,86922,74.42215,215.543928,0.8439700000000001,1.39007,0.59725,5.3
10,152,86922,74.42186,215.545497,0.83645,1.39609,0.58973,5.89
11,152,86922,74.421571,215.547065,0.83645,1.39609,0.58973,6.62
12,152,86922,74.421802,215.545814,0.83645,1.39609,0.58973,6.32
13,152,86922,74.421909,215.543321,0.8439700000000001,1.39007,0.59725,5.2
14,152,86922,74.42161999999998,215.544889,0.83645,1.39609,0.58973,5.7
15,152,86922,74.42133199999998,215.546457,0.83645,1.39609,0.58973,7.39
16,152,86922,74.421562,215.545204,0.83645,1.39609,0.58973,6.17
17,152,86922,74.421666,215.542708,0.83344,1.38406,0.58522,5.24
18,152,86922,74.42138100000003,215.544282,0.83645,1.39609,0.58973,5.99
19,152,86922,74.421095,215.545856,0.83645,1.39609,0.58973,6.86
20,152,86922,74.421325,215.544587,0.83645,1.39609,0.58973,6.51
21,152,86922,74.42142199999998,215.542089,0.83344,1.38406,0.58522,5.3
22,152,86922,74.421134,215.543658,0.83344,1.38406,0.58522,5.42
23,152,86922,74.420846,215.545227,0.83645,1.39609,0.58973,6.71
24,152,86922,74.421077,215.543972,0.83344,1.38406,0.58522,5.77
25,152,86922,74.421178,215.541475,0.83344,1.38406,0.58522,5.34
26,152,86922,74.42089,215.543045,0.83344,1.38406,0.58522,5.74
27,152,86922,74.420602,215.544615,0.83344,1.38406,0.58522,5.45
28,152,86922,74.420833,215.543355,0.83344,1.38406,0.58522,5.7
29,152,86922,74.420932,215.540859,0.83344,1.38406,0.58522,5.66
30,152,86922,74.42064599999998,215.542432,0.83344,1.38406,0.58522,5.66
31,152,86922,74.420361,215.544006,0.83344,1.38406,0.58522,5.59
32,152,86922,74.420592,215.542732,0.83344,1.38406,0.58522,5.74
33,152,86922,74.420699,215.540256,0.83344,1.38406,0.58522,5.78
34,152,86922,74.420406,215.541834,0.83344,1.38406,0.58522,5.73
35,152,86922,74.420112,215.543412,0.83344,1.38406,0.58522,6.32
36,152,86922,74.420348,215.542144,0.83344,1.38406,0.58522,6.35
37,152,86922,74.420448,215.539646,0.83344,1.38406,0.58522,6.19
38,152,86922,74.420161,215.541226,0.83344,1.38406,0.58522,5.77
39,152,86922,74.419875,215.542805,0.83344,1.38406,0.58522,7.13
40,152,86922,74.420109,215.541511,0.83344,1.38406,0.58522,6.91
41,152,86922,74.420203,215.539033,0.83344,1.38406,0.58522,6.02
42,152,86922,74.419914,215.540613,0.83344,1.38406,0.58522,5.93
43,152,86922,74.419626,215.542194,0.83344,1.38406,0.58522,7.91
44,152,86922,74.419863,215.540895,0.83344,1.38406,0.58522,7.58
45,152,86922,74.419955,215.538424,0.83344,1.38406,0.58522,5.78
46,152,86922,74.419667,215.540002,0.83344,1.38406,0.58522,6.55
47,152,86922,74.419379,215.541581,0.83344,1.38406,0.58522,8.41
48,152,86922,74.419617,215.540275,0.83344,1.38406,0.58522,8.84
49,152,86922,74.419714,215.53782,0.83344,1.38406,0.58522,5.71
50,152,86922,74.41942399999998,215.539397,0.83344,1.38406,0.58522,8.2
51,152,86922,74.419134,215.54097400000003,0.83344,1.38406,0.58522,9.12
52,152,86922,74.419374,215.539669,0.83344,1.38406,0.58522,10.18
53,152,86922,74.419471,215.537224,0.83946,1.36751,0.5837100000000001,5.67
54,152,86922,74.41918199999998,215.538798,0.83344,1.38406,0.58522,9.91
55,152,86922,74.41889300000003,215.540372,0.83344,1.38406,0.58522,8.13
56,152,86922,74.419134,215.539061,0.83344,1.38406,0.58522,11.44
57,152,86922,74.419225,215.53661,0.83946,1.36751,0.5837100000000001,5.99
58,152,86922,74.418935,215.538184,0.83946,1.36751,0.5837100000000001,10.78
59,152,86922,74.418645,215.539757,0.83344,1.38406,0.58522,6.45
60,152,86922,74.418887,215.538445,0.83946,1.36751,0.5837100000000001,11.27
61,152,86922,74.418973,215.535989,0.83946,1.36751,0.5837100000000001,6.58
62,152,86922,74.418686,215.537561,0.83946,1.36751,0.5837100000000001,9.99
63,152,86922,74.418399,215.539133,0.83946,1.36751,0.5837100000000001,5.99
64,152,86922,74.41864100000002,215.537811,0.83946,1.36751,0.5837100000000001,10.44
65,152,86922,74.418728,215.535381,0.83946,1.36751,0.5837100000000001,7.27
66,152,86922,74.41844300000002,215.536952,0.83946,1.36751,0.5837100000000001,10.47
67,152,86922,74.418159,215.538524,0.83946,1.36751,0.5837100000000001,5.28
68,152,86922,74.4184,215.537194,0.83946,1.36751,0.5837100000000001,9.9
69,152,86922,74.418488,215.534777,0.83946,1.36751,0.5837100000000001,8.06
70,152,86922,74.418203,215.536348,0.83946,1.36751,0.5837100000000001,9.06
71,152,86922,74.417918,215.537919,0.8454799999999999,1.3645,0.59123,5.46
72,152,86922,74.418159,215.536589,0.83946,1.36751,0.5837100000000001,8.53
73,152,86922,74.418247,215.534168,0.83946,1.36751,0.5837100000000001,9.28
74,152,86922,74.41796,215.535737,0.83946,1.36751,0.5837100000000001,7.8
75,152,86922,74.417673,215.537305,0.8454799999999999,1.3645,0.59123,5.72
76,152,86922,74.41791500000002,215.535983,0.83946,1.36751,0.5837100000000001,7.8
77,152,86922,74.418002,215.533552,0.83946,1.36751,0.5837100000000001,9.79
78,152,86922,74.417716,215.53512200000003,0.83946,1.36751,0.5837100000000001,7.39
79,152,86922,74.41743000000002,215.536692,0.8454799999999999,1.3645,0.59123,5.37
80,152,86922,74.417672,215.535364,0.83946,1.36751,0.5837100000000001,7.27
81,152,86922,74.417761,215.532943,0.83946,1.36751,0.5837100000000001,9.96
